Loading file mallas/AthenaBust.ply

Num vertex: 100000 Num triangles: 199878 Unreferenced vertex: 0

Area    min: 0.0000 max: 0.1330 average: 0.0025 total: 501.8871
Angle   min: 0.0005 max: 3.1402
EdgeLen min: 0.0110 max: 2.8959 average: 0.0802
ShapeF  min: 0.0006 max: 0.9996 average: 0.6828
VertexA min: 0.0003 max: 0.2001 average: 0.0050 total: 501.8871

213 triangles with ShapeFactor < 0.1443
Triangle 6903 has ShapeFactor 0.0816
Triangle 9026 has ShapeFactor 0.0514
Triangle 9726 has ShapeFactor 0.1342
Triangle 12927 has ShapeFactor 0.1409
Triangle 15365 has ShapeFactor 0.0892
Triangle 16195 has ShapeFactor 0.1133
Triangle 23222 has ShapeFactor 0.1242
Triangle 24001 has ShapeFactor 0.1406
Triangle 26065 has ShapeFactor 0.1253
Triangle 31278 has ShapeFactor 0.0570
Triangle 32933 has ShapeFactor 0.0084
Triangle 33948 has ShapeFactor 0.0770
Triangle 35563 has ShapeFactor 0.1428
Triangle 39173 has ShapeFactor 0.1435
Triangle 39817 has ShapeFactor 0.1275
Triangle 41864 has ShapeFactor 0.0858
Triangle 45786 has ShapeFactor 0.0747
Triangle 47017 has ShapeFactor 0.1004
Triangle 47146 has ShapeFactor 0.0907
Triangle 48326 has ShapeFactor 0.1086
Triangle 48974 has ShapeFactor 0.0135
Triangle 50955 has ShapeFactor 0.1211
Triangle 51177 has ShapeFactor 0.0132
Triangle 51501 has ShapeFactor 0.1120
Triangle 53033 has ShapeFactor 0.1369
Triangle 54742 has ShapeFactor 0.0517
Triangle 55613 has ShapeFactor 0.0490
Triangle 61866 has ShapeFactor 0.0307
Triangle 64253 has ShapeFactor 0.1242
Triangle 65448 has ShapeFactor 0.0582
Triangle 66353 has ShapeFactor 0.1023
Triangle 67024 has ShapeFactor 0.0299
Triangle 71747 has ShapeFactor 0.1061
Triangle 72406 has ShapeFactor 0.1239
Triangle 72962 has ShapeFactor 0.0709
Triangle 73532 has ShapeFactor 0.0340
Triangle 73767 has ShapeFactor 0.1203
Triangle 76327 has ShapeFactor 0.0690
Triangle 76409 has ShapeFactor 0.0034
Triangle 83486 has ShapeFactor 0.0421
Triangle 84219 has ShapeFactor 0.1158
Triangle 87233 has ShapeFactor 0.0867
Triangle 90612 has ShapeFactor 0.1314
Triangle 94650 has ShapeFactor 0.1122
Triangle 95580 has ShapeFactor 0.1159
Triangle 95907 has ShapeFactor 0.1210
Triangle 99193 has ShapeFactor 0.0932
Triangle 106316 has ShapeFactor 0.0958
Triangle 107974 has ShapeFactor 0.1129
Triangle 113275 has ShapeFactor 0.0981
Triangle 114661 has ShapeFactor 0.1287
Triangle 114814 has ShapeFactor 0.1168
Triangle 116678 has ShapeFactor 0.0864
Triangle 117574 has ShapeFactor 0.0848
Triangle 119137 has ShapeFactor 0.1230
Triangle 119361 has ShapeFactor 0.1182
Triangle 122318 has ShapeFactor 0.1410
Triangle 123054 has ShapeFactor 0.1354
Triangle 124822 has ShapeFactor 0.0177
Triangle 126526 has ShapeFactor 0.0987
Triangle 128093 has ShapeFactor 0.1243
Triangle 128202 has ShapeFactor 0.1345
Triangle 128529 has ShapeFactor 0.1420
Triangle 129829 has ShapeFactor 0.0909
Triangle 131212 has ShapeFactor 0.0116
Triangle 131225 has ShapeFactor 0.0515
Triangle 131954 has ShapeFactor 0.0652
Triangle 132110 has ShapeFactor 0.0482
Triangle 132112 has ShapeFactor 0.0070
Triangle 132191 has ShapeFactor 0.0544
Triangle 132200 has ShapeFactor 0.0292
Triangle 132209 has ShapeFactor 0.0296
Triangle 133745 has ShapeFactor 0.0578
Triangle 134867 has ShapeFactor 0.0156
Triangle 138761 has ShapeFactor 0.1095
Triangle 141449 has ShapeFactor 0.0085
Triangle 141936 has ShapeFactor 0.0191
Triangle 143000 has ShapeFactor 0.0245
